Planet,Transit,Tc(TESS),Tc_err,TTV(TESS),Tc(TESS) Parabola,Tc_err Parabola,TTV(TESS) Parabola,Time Offset,Period,Tc_offset
k2-19b,0,4697.289029080774,0.004384180173738288,0.008258264864707598,4697.288909606073,0.004375464741110422,0.008138790163684462,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,2,4713.127343841249,0.0028368810794270403,0.0055889267268867115,4713.127453205504,0.0028292453284448718,0.00569829098185437,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,3,4721.041829879279,0.0030127495482077738,-0.00041708408389240503,4721.0417376635005,0.0030084628872664057,-0.000509299862642365,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,4,4728.959652590447,0.0029925529240638154,-0.0030864222226227866,4728.959825934079,0.00297634494034789,-0.002913078590609075,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,5,4736.880811974289,0.00414183744353841,-0.002419087687485444,4736.880952260887,0.004135543667592518,-0.0022788010892327293,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,6,4744.798634685457,0.0028075005289318286,-0.0050884258262158255,4744.798759887567,0.0027992739202866847,-0.004963223716003995,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,93,5433.878773628148,0.003928989295197257,-0.007757763964036712,5433.878892014464,0.0039212018386364286,-0.00763937764804723,BJD - 2454833,7.9204920492049204,2530.2807708159753
k2-19b,95,5449.720258227197,0.0022770031404997413,-0.007257263063365826,5449.720285668897,0.0022760067278391597,-0.0072298213626709185,BJD - 2454833,7.9204920492049204,2530.2807708159753
